cell_sha,alpha,beta,gamma,p_skills,seed,final_reward,status,elapsed_s
8b1976b1dd11,1.0,1.0,0.5,-5.0,314,-0.5949999613221735,ok,10.014980125008151
8b1976b1dd11,1.0,1.0,0.5,-5.0,271,-0.44000001391395926,ok,8.939564166998025
bef40d33fc77,1.0,1.0,0.5,-1.0,42,-0.43999999295920134,ok,9.274122582981363
bef40d33fc77,1.0,1.0,0.5,-1.0,7,-0.140714256092906,ok,10.013625832973048
bef40d33fc77,1.0,1.0,0.5,-1.0,123,-0.6899999673478305,ok,10.511097708018497
bef40d33fc77,1.0,1.0,0.5,-1.0,314,-0.5949999613221735,ok,10.370457958022598
bef40d33fc77,1.0,1.0,0.5,-1.0,271,-0.44000001391395926,ok,8.929692749981768
c215088a1ddc,1.0,1.0,1.0,-10.0,42,-0.2199999955482781,ok,9.136458042019513
c215088a1ddc,1.0,1.0,1.0,-10.0,7,-0.2400000123307109,ok,9.499541500001214
c215088a1ddc,1.0,1.0,1.0,-10.0,123,-0.40666673658415675,ok,10.076346374989953
c215088a1ddc,1.0,1.0,1.0,-10.0,314,-0.49499994120560586,ok,10.279403041990008
c215088a1ddc,1.0,1.0,1.0,-10.0,271,-0.24000001419335604,ok,8.627220166963525
4852b1f25bf5,1.0,1.0,1.0,-5.0,42,-0.2199999955482781,ok,9.18003350001527
4852b1f25bf5,1.0,1.0,1.0,-5.0,7,-0.2400000123307109,ok,9.377766582998447
4852b1f25bf5,1.0,1.0,1.0,-5.0,123,-0.40666673658415675,ok,9.974560000002384
4852b1f25bf5,1.0,1.0,1.0,-5.0,314,-0.49499994120560586,ok,9.806482375017367
4852b1f25bf5,1.0,1.0,1.0,-5.0,271,-0.24000001419335604,ok,9.55391141702421
64f663462580,1.0,1.0,1.0,-1.0,42,-0.2199999955482781,ok,9.323155042016879
64f663462580,1.0,1.0,1.0,-1.0,7,-0.2400000123307109,ok,9.847518499998841
64f663462580,1.0,1.0,1.0,-1.0,123,-0.40666673658415675,ok,10.197442125005182
64f663462580,1.0,1.0,1.0,-1.0,314,-0.49499994120560586,ok,10.771031250013039
64f663462580,1.0,1.0,1.0,-1.0,271,-0.24000001419335604,ok,9.368958249979187
3361dc5c30bd,1.0,2.0,0.0,-10.0,42,-0.41432087076827884,ok,9.600108332990203
3361dc5c30bd,1.0,2.0,0.0,-10.0,7,-0.8400000147521496,ok,9.170165957999416
3361dc5c30bd,1.0,2.0,0.0,-10.0,123,-0.8399999509565532,ok,10.056613042019308
3361dc5c30bd,1.0,2.0,0.0,-10.0,314,-0.994999949587509,ok,9.6927889159997
3361dc5c30bd,1.0,2.0,0.0,-10.0,271,-0.8400000283727422,ok,8.662808416003827
2b137d769936,1.0,2.0,0.0,-5.0,42,-0.41432087076827884,ok,9.811227208003402
2b137d769936,1.0,2.0,0.0,-5.0,7,-0.8400000147521496,ok,11.084700958977919
2b137d769936,1.0,2.0,0.0,-5.0,123,-0.8399999509565532,ok,10.404899999964982
2b137d769936,1.0,2.0,0.0,-5.0,314,-0.994999949587509,ok,10.496056459029205
2b137d769936,1.0,2.0,0.0,-5.0,271,-0.8400000283727422,ok,9.081831666000653
57ca82d8213f,1.0,2.0,0.0,-1.0,42,-0.41432087076827884,ok,9.28488583402941
57ca82d8213f,1.0,2.0,0.0,-1.0,7,-0.8400000147521496,ok,9.127080375037622
57ca82d8213f,1.0,2.0,0.0,-1.0,123,-0.8399999509565532,ok,9.697258791013155
